submitted_on,waterpoint_photo,latitude,longitude,functional_status,current_problem,other_current_problem,water_quality_problems_available,available_water_quality_issues,other_water_quality_issues,households_using_waterpoint,water_unavailable_seasonally,water_unavailable_period,service_provider_available,type_of_provider,waterpoint_committee_active
07/04/2022,https://api.mwater.co/v3/images/80bbd82852b44f3aa5a15df27b4230bf,-14.5256153,35.2144524,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,12,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/f033984f27af4cf6a992326f8ec706e4,-14.4696886,35.1575443,Functional,NA,NA,Yes,Salinity or salty water,NA,50,No,NA,Yes,Water Point Committee,Yes 
07/04/2022,https://api.mwater.co/v3/images/a7ef40b52d8f4dd6a90ccde117c60f62,-14.5262959,35.2140402,Functional,NA,NA,No,NA,NA,15,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/2efafac11571407ebc66fc118cc2daf8,-14.4868933,35.181265,Partially functional but in need of repair,"Broken parts, Worn out parts",NA,No,NA,NA,9,No,NA,Yes,Unofficial/ Bush Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/d22151594f654c07a02248e66003da4f,-14.5239829,35.2006461,Partially functional but in need of repair,Worn out parts,NA,Yes,Sediment presence,NA,7,No,NA,Yes,Unofficial/ Bush Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/1ce5d435931243359956a1000e6e6629,-14.467656,35.1597915,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,150,No,NA,Yes,Water Point Committee,Yes 
07/04/2022,https://api.mwater.co/v3/images/30dc1f9d3eeb4ec8a44c2be0c1cf077c,-14.4904276,35.1803352,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,15,No,NA,Yes,Unofficial/ Bush Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/412f9c6e098848fca125c36b1000bfbb,-14.5235033,35.1999667,Partially functional but in need of repair,"Worn out parts, Broken parts, Structural problems - Civil works, apron, etc",NA,No,NA,NA,7,No,NA,Yes,Unofficial/ Bush Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/a10919ed0e7e47e7b2c45ec9e1c89b64,-14.4678319,35.1604674,No longer exists or abandoned,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
07/04/2022,https://api.mwater.co/v3/images/b4d582362f124ac08f4530d2e52a94ff,-14.4904845,35.1821774,Partially functional but in need of repair,Low yield,NA,No,NA,NA,15,Yes,"09, 10, 11",Don't know,NA,NA
07/04/2022,https://api.mwater.co/v3/images/f06fd2797e4043f79acfd32ee7b36d09,-14.472175,35.1555267,Functional,NA,NA,No,NA,NA,30,No,NA,Yes,Water Point Committee,Yes 
07/04/2022,https://api.mwater.co/v3/images/bb5e09e17d9e4d6a86d27ec4f7a5aa08,-14.5204083,35.2032141,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,7,No,NA,Yes,Unofficial/ Bush Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/fd9bdd55bbc748ed9ae67822037c6034,-14.4914167,35.1806117,Partially functional but in need of repair,"Broken parts, Worn out parts",NA,No,NA,NA,26,No,NA,Yes,Unofficial/ Bush Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/4e1edef5a2734ba8af3277ca7dff1f56,-14.4901048,35.1812534,Functional,NA,NA,No,NA,NA,20,No,NA,Yes,"Unofficial/ Bush Mechanic, Community members",NA
07/04/2022,https://api.mwater.co/v3/images/714fbf4ea8bf4f56bdb3639e20926763,-14.476288,35.1577827,Functional,NA,NA,No,NA,NA,25,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/2e8b5939a5514fb181a67b84dc9e8906,-14.5213628,35.2040194,Partially functional but in need of repair,Worn out parts,NA,Yes,Turbidity or cloudy water ,NA,40,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/b3b809b5de5245e2b8dc8d1dda2cc7d3,-14.4907233,35.182985,Partially functional but in need of repair,"Worn out parts, Broken parts",NA,No,NA,NA,15,No,NA,Yes,Owner / Private household,NA
07/04/2022,https://api.mwater.co/v3/images/51878a56febf4c6f8099af998bf0b349,-14.4897482,35.183152,Functional,NA,NA,No,NA,NA,12,No,NA,Yes,Institution,NA
07/04/2022,https://api.mwater.co/v3/images/b963c7f370cc44a28076510dbe02b2fe,-14.4898274,35.1825665,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,7,No,NA,Yes,"Institution, Unofficial/ Bush Mechanic",NA
07/04/2022,https://api.mwater.co/v3/images/7fd84b8ce59b495796312504e12e710b,-14.5218703,35.2060732,Partially functional but in need of repair,Worn out parts,NA,Yes,Sediment presence,NA,1,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/119ba9b978134be793dea8429f7bd301,-14.4913136,35.1826045,Partially functional but in need of repair,"Broken parts, Worn out parts",NA,No,NA,NA,15,No,NA,Yes,Unofficial/ Bush Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/49669b7bf9654935b174607fa740d8cd,-14.5270799,35.2090379,Functional,NA,NA,No,NA,NA,10,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/4c507104e3aa425786849d841f2b0401,-14.5216124,35.205534,Partially functional but in need of repair,Worn out parts,NA,Yes,Sediment presence,NA,20,Yes,"10, 11",Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/dad635bdd5704c22bfb7435df3b423ad,-14.5229367,35.20592,Functional,NA,NA,No,NA,NA,18,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/37f8f35c43ca449ba5b5607818d6259f,-14.4899869,35.1839635,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,11,No,NA,Yes,Unofficial/ Bush Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/957293e67b77465d852b172646a47ef1,-14.5237276,35.2132064,Functional,NA,NA,No,NA,NA,59,Yes,8,Yes,Community members,NA
07/04/2022,https://api.mwater.co/v3/images/597d1dc73f1c48c1ad0820c3aab16a04,-14.4900061,35.1847845,Not functional,Broken parts,NA,NA,NA,NA,NA,NA,NA,Yes,Unofficial/ Bush Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/158d180fbf9a4d469393c8f54cac6212,-14.5246335,35.213246,Partially functional but in need of repair,Low water flow - Low water pressure,NA,No,NA,NA,12,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/284e698fc855467194db898c28328b0a,-14.5274123,35.2132429,Functional,NA,NA,No,NA,NA,10,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/607387575f7441259148d56778e3425b,-14.4893561,35.1854882,Functional,NA,NA,No,NA,NA,30,No,NA,Yes,Water Point Committee,Yes 
07/04/2022,https://api.mwater.co/v3/images/8a5e7d07f37943b6bb380c2a04cda659,-14.48853,35.1847217,Partially functional but in need of repair,"Broken parts, Worn out parts",NA,No,NA,NA,15,No,NA,Yes,Area or Water Mechanic,NA
